Top terms per cluster:,Top terms per cluster:,,Top terms per cluster:,,,Top terms per cluster:,,,,Top terms per cluster:,,,,
,,,,,,,,,,,,,,
Cluster 0:,Cluster 0:,,Cluster 0:,,,Cluster 0:,,,,Cluster 0:,,,,
love,thank,,ready,,,ready,,,,dark,,,,
thank,great,,wedding,,,wedding,,,,vote,,,,
happy,game,,game,,,game,,,,pick,,,,
great,today,,cheer,,,cheer,,,,long,,,,
good,photo,,jet,,,jet,,,,won,,,,
today,posted,,whos,,,hair,,,,take,,,,
game,best,,hair,,,reading,,,,season,,,,
photo,night,,reading,,,cassius,,,,favour,,,,
posted,tennis,,cassius,,,year,,,,favourite,,,,
best,fun,,year,,,training,,,,feature,,,,
,,,,,,,,,,,,,,
Cluster 1:,Cluster 1:,,Cluster 1:,,,Cluster 1:,,,,Cluster 1:,remembering game,,,
baby,love,,love,,,love,,,,good,,,,b'story'
forever,thank,,thank,,,thank,,,,great,,,,b'thank'
thank,great,,happy,,,happy,,,,happy,,,,b'full'
santa,fun,,good,,,good,,,,congrats,,,,b'cover'
dearest,congratulations,,great,,,great,,,,game,,,,b'instagram'
bad,yall,,today,,,today,,,,team,,,,b'dream'
happy,year,,game,,,game,,,,today,,,,b'inspiring'
love,tennis,,photo,,,photo,,,,love,,,,b'success'
hugs,work,,posted,,,posted,,,,video,,,,b'love'
scores,little,,best,,,best,,,,tonight,,,,b'art'
,,,,,,,,,,,,,,
Cluster 2:,Cluster 2:,,Cluster 2:,,,Cluster 2:,,,,Cluster 2:,,,,
wait,good,,wait,,,wait,,,,thank,,,,
cant,luck,,cant,,,cant,,,,wishes,,,,
play,morning,,play,,,play,,,,support,,,,
guy,feel,,guy,,,guy,,,,kind,,,,
league,hope,,league,,,league,,,,best,,,,
love,today,,love,,,love,,,,love,,,,
tonight,week,,tonight,,,tonight,,,,words,,,,
favourite,fun,,favourite,,,favourite,,,,good,,,,
hear,thank,,hear,,,hear,,,,great,,,,
birds,win,,birds,,,birds,,,,everyone,,,,
,,,,,,,,,,,,,,
Cluster 3:,Cluster 3:,,Cluster 3:,,,Cluster 3:,,,,Cluster 3:,,,,
days,happy,,thank,,,thank,,,,work,,,,
work,birthday,,love,,,love,,,,hard,,,,
waiting,everyone,,support,,,support,,,,great,,,,
feels,year,,everyone,,,everyone,,,,good,,,,
friends,wishing,,team,,,team,,,,team,,,,
home,love,,babe,,,babe,,,,thank,,,,
good,world,,joining,,,joining,,,,dedication,,,,
way,hope,,hours,,,hours,,,,top,,,,
friendship,friends,,amazing,,,amazing,,,,gym,,,,
nyc,super,,appreciate,,,appreciate,,,,guys,,,,
,,,,,,,,,,,,,,
Cluster 4:,Cluster 4:,,,,,,,,,,,,,
thank,funny,,,,,,,,,,,,,
love,name,,,,,,,,,,,,,
support,space,,,,,,,,,,,,,
everyone,couldnt,,,,,,,,,,,,,
team,pretty,,,,,,,,,,,,,
babe,twitter,,,,,,,,,,,,,
joining,great,,,,,,,,,,,,,
hours,em,,,,,,,,,,,,,
appreciate,530am,,,,,,,,,,,,,
wow,calling,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cluster 5:,,,,,,,,,,,,,
,thank,,,,,,,,,,,,,
,support,,,,,,,,,,,,,
,everyone,,,,,,,,,,,,,
,team,,,,,,,,,,,,,
,babe,,,,,,,,,,,,,
,joining,,,,,,,,,,,,,
,hours,,,,,,,,,,,,,
,appreciate,,,,,,,,,,,,,
,wow,,,,,,,,,,,,,
,sharing,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cluster 6:,,,,,,,,,,,,,
,practice,,,,,,,,,,,,,
,today,,,,,,,,,,,,,
,first,,,,,,,,,,,,,
,morning,,,,,,,,,,,,,
,pumped,,,,,,,,,,,,,
,crew,,,,,,,,,,,,,
,juan,,,,,,,,,,,,,
,san,,,,,,,,,,,,,
,done,,,,,,,,,,,,,
,light,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cluster 7:,,,,,,,,,,,,,
,wait,,,,,,,,,,,,,
,cant,,,,,,,,,,,,,
,play,,,,,,,,,,,,,
,guy,,,,,,,,,,,,,
,league,,,,,,,,,,,,,
,love,,,,,,,,,,,,,
,tonight,,,,,,,,,,,,,
,favourite,,,,,,,,,,,,,
,hear,,,,,,,,,,,,,
,birds,,,,,,,,,,,,,
